id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone
fEsgUESZxOQtd4YEmAUuow,ii-caffe-latte-2-new-york-4,II Caffe Latte 2,https://s3-media0.fl.yelpcdn.com/bphoto/rL-1bjIrEvnG6zV8ofrZpg/o.jpg,False,https://www.yelp.com/biz/ii-caffe-latte-2-new-york-4?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,127,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'cafes', 'title': 'Cafes'}]",3.5,"{'latitude': 40.8246899, 'longitude': -73.94704}","['delivery', 'pickup']",$$,"{'address1': '458 W 145th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10031', 'country': 'US', 'state': 'NY', 'display_address': ['458 W 145th St', 'New York, NY 10031']}",+12122340202,(212) 234-0202
zm_ngfMxyU6d85AaTIgI7Q,chloes-restaurant-and-lounge-brooklyn,Chloe's Restaurant & Lounge,https://s3-media0.fl.yelpcdn.com/bphoto/AFD_nPVpU1rhI7VMWvbltA/o.jpg,False,https://www.yelp.com/biz/chloes-restaurant-and-lounge-brooklyn?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,192,"[{'alias': 'haitian', 'title': 'Haitian'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'seafood', 'title': 'Seafood'}]",2.5,"{'latitude': 40.63755, 'longitude': -73.89731}","['delivery', 'pickup']",$$,"{'address1': '9413 Ave L', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11236', 'country': 'US', 'state': 'NY', 'display_address': ['9413 Ave L', 'Brooklyn, NY 11236']}",+13477709051,(347) 770-9051
LbGAKVX3cwZj4fUC2XOLxg,jahns-jackson-heights,Jahn's,https://s3-media0.fl.yelpcdn.com/bphoto/9Oa1n8Dyo_n2N9YIhJxsgw/o.jpg,False,https://www.yelp.com/biz/jahns-jackson-heights?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,172,"[{'alias': 'diners', 'title': 'Diners'}]",3.5,"{'latitude': 40.74941, 'longitude': -73.88497}","['delivery', 'pickup']",$$,"{'address1': '81-04 37th Ave', 'address2': '', 'address3': '', 'city': 'Jackson Heights', 'zip_code': '11372', 'country': 'US', 'state': 'NY', 'display_address': ['81-04 37th Ave', 'Jackson Heights, NY 11372']}",+17186510700,(718) 651-0700
i8ejDDR4COtukAAA1Ls5fw,soba-ya-new-york,Soba-ya,https://s3-media0.fl.yelpcdn.com/bphoto/LnjY25INn-aM1eAyiav8XA/o.jpg,False,https://www.yelp.com/biz/soba-ya-new-york?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,1496,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'noodles', 'title': 'Noodles'}]",4.0,"{'latitude': 40.72965, 'longitude': -73.9878899}","['delivery', 'pickup']",$$,"{'address1': '229 E 9th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['229 E 9th St', 'New York, NY 10003']}",+12125336966,(212) 533-6966
YV0VaJgV2zotzI7XNUaMCQ,mcdonalds-new-york-100,McDonald's,https://s3-media0.fl.yelpcdn.com/bphoto/X710tzNcQt5xzpJMVIpZHw/o.jpg,False,https://www.yelp.com/biz/mcdonalds-new-york-100?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,85,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",2.5,"{'latitude': 40.71852, 'longitude': -74.00115}",['delivery'],$,"{'address1': '262 Canal St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['262 Canal St', 'New York, NY 10013']}",+12129415823,(212) 941-5823
8wXweIak4ehpGBzSCMtjew,corner-pizza-bronx,Corner Pizza,https://s3-media0.fl.yelpcdn.com/bphoto/eTIbvqyAXdK1KttgPQn58w/o.jpg,False,https://www.yelp.com/biz/corner-pizza-bronx?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,7,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.0,"{'latitude': 40.88078424000837, 'longitude': -73.8838565}",['delivery'],$,"{'address1': '3399 Jerome Ave', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10467', 'country': 'US', 'state': 'NY', 'display_address': ['3399 Jerome Ave', 'Bronx, NY 10467']}",+17186531525,(718) 653-1525
yIWKtjt9v0m7i8mKBQlsug,la-casa-de-julia-woodside,La Casa de Julia,https://s3-media0.fl.yelpcdn.com/bphoto/OOY3KQW7ylz-tDRyNkdRtA/o.jpg,False,https://www.yelp.com/biz/la-casa-de-julia-woodside?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,9,"[{'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]",3.5,"{'latitude': 40.74618, 'longitude': -73.89954}","['delivery', 'pickup']",,"{'address1': '64-09 Roosevelt Ave', 'address2': None, 'address3': None, 'city': 'Woodside', 'zip_code': '11377', 'country': 'US', 'state': 'NY', 'display_address': ['64-09 Roosevelt Ave', 'Woodside, NY 11377']}",+13478080627,(347) 808-0627
KUkT9twhTGxZ_-Zo9g6mcw,riverbank-grill-new-york,Riverbank Grill,https://s3-media0.fl.yelpcdn.com/bphoto/RlB1GqEiKXXPqyjYGifKew/o.jpg,True,https://www.yelp.com/biz/riverbank-grill-new-york?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,10,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}]",3.5,"{'latitude': 40.8271744468318, 'longitude': -73.955329727539}",[],$$$,"{'address1': '679 Riverside Dr', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10031', 'country': 'US', 'state': 'NY', 'display_address': ['679 Riverside Dr', 'New York, NY 10031']}",+12122341023,(212) 234-1023
R9lCxxOvGK5k-cbp4fkVHg,tian-at-the-riverbank-new-york,Tian at the Riverbank,https://s3-media0.fl.yelpcdn.com/bphoto/RNz7ZmSWtsUtWyHevjADYg/o.jpg,True,https://www.yelp.com/biz/tian-at-the-riverbank-new-york?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,51,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'bars', 'title': 'Bars'}]",3.0,"{'latitude': 40.8233195045115, 'longitude': -73.9524832814453}",[],$$,"{'address1': 'Riverbank State Park', 'address2': '679 Riverside Dr', 'address3': '', 'city': 'New York', 'zip_code': '10031', 'country': 'US', 'state': 'NY', 'display_address': ['Riverbank State Park', '679 Riverside Dr', 'New York, NY 10031']}",+12122341023,(212) 234-1023
zdgJUdnxkRmmtb4qIk0ZHg,sushi-zo-midtown-new-york-new-york,Sushi Zo | Midtown New York,https://s3-media0.fl.yelpcdn.com/bphoto/kibfipheDdcSR7MGtjmH5Q/o.jpg,False,https://www.yelp.com/biz/sushi-zo-midtown-new-york-new-york?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,28,"[{'alias': 'sushi', 'title': 'Sushi Bars'}]",4.5,"{'latitude': 40.74971, 'longitude': -73.97759}",[],$$$$,"{'address1': '127 E 39th St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10016', 'country': 'US', 'state': 'NY', 'display_address': ['127 E 39th St', 'New York, NY 10016']}",+19172658054,(917) 265-8054
