id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone
YFYuffQS3qZ35gmj4xqe_g,kan-wah-restaurant-flushing,Kan Wah Restaurant,https://s3-media0.fl.yelpcdn.com/bphoto/ebDriDJvl4aAah62UkOqXw/o.jpg,False,https://www.yelp.com/biz/kan-wah-restaurant-flushing?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,22,"[{'alias': 'chinese', 'title': 'Chinese'}]",3.5,"{'latitude': 40.7434309, 'longitude': -73.8257879}",[],$,"{'address1': '59-12 Main St', 'address2': '', 'address3': '', 'city': 'Flushing', 'zip_code': '11355', 'country': 'US', 'state': 'NY', 'display_address': ['59-12 Main St', 'Flushing, NY 11355']}",+17184459799,(718) 445-9799
G2qAAfF4NdXVz5H8SjQNgg,el-anzuelo-fino-woodhaven-woodhaven,El Anzuelo Fino - Woodhaven,https://s3-media0.fl.yelpcdn.com/bphoto/_jR5Hwx0_HU6LuZjYcG5nA/o.jpg,False,https://www.yelp.com/biz/el-anzuelo-fino-woodhaven-woodhaven?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,42,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'peruvian', 'title': 'Peruvian'}, {'alias': 'seafood', 'title': 'Seafood'}]",2.5,"{'latitude': 40.695005, 'longitude': -73.847656}","['pickup', 'delivery']",$$,"{'address1': '98-01 Jamaica Ave', 'address2': '', 'address3': '', 'city': 'Woodhaven', 'zip_code': '11421', 'country': 'US', 'state': 'NY', 'display_address': ['98-01 Jamaica Ave', 'Woodhaven, NY 11421']}",+17188460909,(718) 846-0909
05MSMrudU5N7UgImzuRVtw,china-panda-east-new-york,China Panda,https://s3-media0.fl.yelpcdn.com/bphoto/tV71OsP230A8GLF-Gkd6Rw/o.jpg,False,https://www.yelp.com/biz/china-panda-east-new-york?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,2,"[{'alias': 'chinese', 'title': 'Chinese'}]",3.0,"{'latitude': 40.6615610994548, 'longitude': -73.8940463215113}",['delivery'],$,"{'address1': '351 New Lots Ave', 'address2': '', 'address3': '', 'city': 'East New York', 'zip_code': '11207', 'country': 'US', 'state': 'NY', 'display_address': ['351 New Lots Ave', 'East New York, NY 11207']}",+17186491622,(718) 649-1622
TJ7Te_9seKN-k-xL9NhR3g,andys-taco-japanese-and-mexican-food-bronx-2,ANDY'S Taco Japanese and Mexican food,,False,https://www.yelp.com/biz/andys-taco-japanese-and-mexican-food-bronx-2?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,6,"[{'alias': 'tex-mex', 'title': 'Tex-Mex'}, {'alias': 'japanese', 'title': 'Japanese'}]",4.0,"{'latitude': 40.8642686797872, 'longitude': -73.8224256411195}",[],,"{'address1': '171 Einstein Lp N', 'address2': 'Co-op City Sec 5', 'address3': None, 'city': 'Bronx', 'zip_code': '10475', 'country': 'US', 'state': 'NY', 'display_address': ['171 Einstein Lp N', 'Co-op City Sec 5', 'Bronx, NY 10475']}",+17188620191,(718) 862-0191
HUoI7SQGEqhT5qQ2V2bBzQ,andys-taco-japanese-and-mexican-food-bronx,ANDY'S Taco Japanese & Mexican Food,,False,https://www.yelp.com/biz/andys-taco-japanese-and-mexican-food-bronx?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,3,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",3.5,"{'latitude': 40.864474567323, 'longitude': -73.8224015012383}",['delivery'],,"{'address1': '171 Einstein Lp N', 'address2': 'Co-op City Sec 5', 'address3': None, 'city': 'Bronx', 'zip_code': '10475', 'country': 'US', 'state': 'NY', 'display_address': ['171 Einstein Lp N', 'Co-op City Sec 5', 'Bronx, NY 10475']}",+17188620191,(718) 862-0191
pLwokyGO6udYSa6jS0CWfQ,eddies-taco-and-grill-plus-bronx,Eddie's Taco & Grill Plus,,False,https://www.yelp.com/biz/eddies-taco-and-grill-plus-bronx?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,9,"[{'alias': 'tex-mex', 'title': 'Tex-Mex'}]",2.5,"{'latitude': 40.8644488, 'longitude': -73.823137}",[],$,"{'address1': '171 Einstein Lp', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10475', 'country': 'US', 'state': 'NY', 'display_address': ['171 Einstein Lp', 'Bronx, NY 10475']}",+17188620191,(718) 862-0191
5-JRGE4uZzjFvzvWxF-zig,brine-new-york,Brine,https://s3-media0.fl.yelpcdn.com/bphoto/kn6ddXBhDbVVxW63JR2XKg/o.jpg,False,https://www.yelp.com/biz/brine-new-york?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,150,"[{'alias': 'chickenshop', 'title': 'Chicken Shop'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.5,"{'latitude': 40.74059, 'longitude': -74.00169}","['pickup', 'delivery']",$$,"{'address1': '106 8th Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10011', 'country': 'US', 'state': 'NY', 'display_address': ['106 8th Ave', 'New York, NY 10011']}",+16465591660,(646) 559-1660
gbKPnTbdLqqpro-jTYKvBA,brooklyn-beso-restaurant-and-bar-brooklyn,Brooklyn Beso Restaurant & Bar,https://s3-media0.fl.yelpcdn.com/bphoto/CtZ8QMhTymBKU5gsgXMoOQ/o.jpg,False,https://www.yelp.com/biz/brooklyn-beso-restaurant-and-bar-brooklyn?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,402,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",3.0,"{'latitude': 40.68293, 'longitude': -73.93533}","['pickup', 'delivery']",$$,"{'address1': '370 Lewis Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11233', 'country': 'US', 'state': 'NY', 'display_address': ['370 Lewis Ave', 'Brooklyn, NY 11233']}",+13479152900,(347) 915-2900
UinIRaZuSSYlLrOrhy2V0Q,catfish-brooklyn-2,Catfish,https://s3-media0.fl.yelpcdn.com/bphoto/x1Vd1a1-kZ84aonypQoIkw/o.jpg,False,https://www.yelp.com/biz/catfish-brooklyn-2?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,714,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,"{'latitude': 40.674106, 'longitude': -73.953529}","['pickup', 'delivery']",$$,"{'address1': '1433 Bedford Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11216', 'country': 'US', 'state': 'NY', 'display_address': ['1433 Bedford Ave', 'Brooklyn, NY 11216']}",+13473053233,(347) 305-3233
S6Wa5JDebsRgU0wyDwMbjg,devon-and-blakely-new-york-8,Devon & Blakely,https://s3-media0.fl.yelpcdn.com/bphoto/VLa9rsmV01dTSy4OqUPjng/o.jpg,True,https://www.yelp.com/biz/devon-and-blakely-new-york-8?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,89,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'cafes', 'title': 'Cafes'}]",2.0,"{'latitude': 40.714141219887, 'longitude': -74.0155009707779}",['pickup'],$$,"{'address1': '1 World Financial Ctr', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10281', 'country': 'US', 'state': 'NY', 'display_address': ['1 World Financial Ctr', 'New York, NY 10281']}",+12127864206,(212) 786-4206
