id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone
zz0uxqMv5Ba1CTXKsbf6wg,donovans-grill-and-tavern-bayside,Donovan's Grill & Tavern,https://s3-media0.fl.yelpcdn.com/bphoto/Uxo7ZaUebBCZB50xPqO2Ig/o.jpg,True,https://www.yelp.com/biz/donovans-grill-and-tavern-bayside?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,369,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",3.5,"{'latitude': 40.763634, 'longitude': -73.770339}",['delivery'],$$,"{'address1': '21416 41st Ave', 'address2': '', 'address3': '', 'city': 'Bayside', 'zip_code': '11361', 'country': 'US', 'state': 'NY', 'display_address': ['21416 41st Ave', 'Bayside, NY 11361']}",+17184235353,(718) 423-5353
_5dovFoqS-xKkjSUTcIDVg,quarter-brooklyn,Quarter,https://s3-media0.fl.yelpcdn.com/bphoto/WMQDFalXGBgdQSoMvt17hw/o.jpg,False,https://www.yelp.com/biz/quarter-brooklyn?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,88,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,"{'latitude': 40.6618799, 'longitude': -73.99314}",['delivery'],$$,"{'address1': '676 5th Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11215', 'country': 'US', 'state': 'NY', 'display_address': ['676 5th Ave', 'Brooklyn, NY 11215']}",+17187880989,(718) 788-0989
iLfVLcX_Y1f9JAu9fhA6nQ,sofias-pizza-south-ozone-park,Sofia's Pizza,https://s3-media0.fl.yelpcdn.com/bphoto/8p6HKeCj9uQUNfnEfJkYcQ/o.jpg,False,https://www.yelp.com/biz/sofias-pizza-south-ozone-park?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,236,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.0,"{'latitude': 40.67751, 'longitude': -73.82586}","['delivery', 'pickup']",$$,"{'address1': '112-15 Linden Blvd', 'address2': None, 'address3': '', 'city': 'South Ozone Park', 'zip_code': '11420', 'country': 'US', 'state': 'NY', 'display_address': ['112-15 Linden Blvd', 'South Ozone Park, NY 11420']}",+17188456250,(718) 845-6250
2kk4LBvfPVld70kxgDyrfg,sophia-pizza-and-deli-jamaica,Sophia Pizza & Deli,https://s3-media0.fl.yelpcdn.com/bphoto/ZffETPmJHAsSNuXdtJNGDA/o.jpg,True,https://www.yelp.com/biz/sophia-pizza-and-deli-jamaica?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,9,"[{'alias': 'pizza', 'title': 'Pizza'}]",1.5,"{'latitude': 40.6560096740723, 'longitude': -73.7668685913086}",[],$,"{'address1': '11214 Rockaway Blvd', 'address2': '', 'address3': '', 'city': 'Jamaica', 'zip_code': '11420', 'country': 'US', 'state': 'NY', 'display_address': ['11214 Rockaway Blvd', 'Jamaica, NY 11420']}",+17188456250,(718) 845-6250
CygcAgexrpJGY8iWp7QqnA,antonucci-cafe-new-york,Antonucci Cafe,https://s3-media0.fl.yelpcdn.com/bphoto/eknzUFDoehE9uVaep4i0Tw/o.jpg,False,https://www.yelp.com/biz/antonucci-cafe-new-york?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,163,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'cafes', 'title': 'Cafes'}]",4.0,"{'latitude': 40.77574, 'longitude': -73.95689}","['pickup', 'delivery']",$$$,"{'address1': '170 E 81st St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10028', 'country': 'US', 'state': 'NY', 'display_address': ['170 E 81st St', 'New York, NY 10028']}",+12125705100,(212) 570-5100
B1o7lPCRY56EIIlTxoUubg,stellas-coffee-shop-queens-village,Stella's Coffee Shop,https://s3-media0.fl.yelpcdn.com/bphoto/gJ9dUwD3-1O1d1G2beBl9g/o.jpg,False,https://www.yelp.com/biz/stellas-coffee-shop-queens-village?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,91,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",3.0,"{'latitude': 40.7208642, 'longitude': -73.7321376}","['pickup', 'delivery']",$,"{'address1': '222-13 Jamaica Ave', 'address2': '', 'address3': '', 'city': 'Queens Village', 'zip_code': '11428', 'country': 'US', 'state': 'NY', 'display_address': ['222-13 Jamaica Ave', 'Queens Village, NY 11428']}",+17182649820,(718) 264-9820
rCIBIYCrhdEoCgPTf9dD4Q,applebees-grill-bar-bayside,Applebee's Grill + Bar,https://s3-media0.fl.yelpcdn.com/bphoto/STKaYa1ZwBUko4yuTmEw3A/o.jpg,False,https://www.yelp.com/biz/applebees-grill-bar-bayside?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,190,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'burgers', 'title': 'Burgers'}]",2.5,"{'latitude': 40.779157, 'longitude': -73.776505}","['pickup', 'delivery']",$$,"{'address1': '213-29 26th Ave', 'address2': '', 'address3': '', 'city': 'Bayside', 'zip_code': '11360', 'country': 'US', 'state': 'NY', 'display_address': ['213-29 26th Ave', 'Bayside, NY 11360']}",+17184234328,(718) 423-4328
o5Kwl4CHxcWuGXR_3UmAVg,la-casa-del-pollo-peruano-new-york,La Casa Del Pollo Peruano,https://s3-media0.fl.yelpcdn.com/bphoto/q1GVPWjwy3hUmdxlsg7HGQ/o.jpg,False,https://www.yelp.com/biz/la-casa-del-pollo-peruano-new-york?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,16,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'peruvian', 'title': 'Peruvian'}]",3.0,"{'latitude': 40.7491112, 'longitude': -73.8723602}",['delivery'],$$,"{'address1': '94-09 Roosevelt Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '11372', 'country': 'US', 'state': 'NY', 'display_address': ['94-09 Roosevelt Ave', 'New York, NY 11372']}",+17184580824,(718) 458-0824
1ht9x2hqzpjfk6JaR8r7oA,lins-asian-cuisine-east-bronx,Lin's Asian Cuisine,https://s3-media0.fl.yelpcdn.com/bphoto/5ZN4NBb8LmH2McNSzfSiqQ/o.jpg,False,https://www.yelp.com/biz/lins-asian-cuisine-east-bronx?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,92,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",3.5,"{'latitude': 40.8426181840383, 'longitude': -73.8538535671128}","['delivery', 'pickup']",$$,"{'address1': '1506 Bronxdale Ave', 'address2': '', 'address3': '', 'city': 'East Bronx', 'zip_code': '10462', 'country': 'US', 'state': 'NY', 'display_address': ['1506 Bronxdale Ave', 'East Bronx, NY 10462']}",+17188226888,(718) 822-6888
JaDt1ule0xPIY8juArcdUw,plaza-tulcingo-restaurant-bronx,Plaza Tulcingo Restaurant,https://s3-media0.fl.yelpcdn.com/bphoto/0f193JCuj2bvqoOSFqQ7ew/o.jpg,False,https://www.yelp.com/biz/plaza-tulcingo-restaurant-bronx?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,4,"[{'alias': 'mexican', 'title': 'Mexican'}]",2.0,"{'latitude': 40.83815, 'longitude': -73.9187}","['pickup', 'delivery']",$$,"{'address1': '10 E Clarke Pl', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10452', 'country': 'US', 'state': 'NY', 'display_address': ['10 E Clarke Pl', 'Bronx, NY 10452']}",+17186815020,(718) 681-5020
