id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone
AiwRnZcVELiu_jO-6OAWcg,cooper-square-hotel-bar-new-york,Cooper Square Hotel Bar,https://s3-media0.fl.yelpcdn.com/bphoto/m7qkIhV-hwMgkh15IqwgCw/o.jpg,True,https://www.yelp.com/biz/cooper-square-hotel-bar-new-york?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,7,"[{'alias': 'bars', 'title': 'Bars'}]",4.5,"{'latitude': 40.727699, 'longitude': -73.990837}",[],$$$,"{'address1': '25 Cooper Square', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['25 Cooper Square', 'New York, NY 10003']}",+12124755700,(212) 475-5700
bEb9i8NKD_wIzYFDtwNr5g,cooper-square-hotel-new-york,Cooper Square Hotel,https://s3-media0.fl.yelpcdn.com/bphoto/OYDtCS9d7X7UdYKqEcQ-9Q/o.jpg,True,https://www.yelp.com/biz/cooper-square-hotel-new-york?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,49,"[{'alias': 'hotels', 'title': 'Hotels'}]",4.0,"{'latitude': 40.7278786, 'longitude': -73.9907608}",[],$$$,"{'address1': '25 Cooper Sq', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['25 Cooper Sq', 'New York, NY 10003']}",+12124755700,(212) 475-5700
VMGinfrQm6JQfGMUsDFBfg,the-standard-east-village-new-york,"The Standard, East Village",https://s3-media0.fl.yelpcdn.com/bphoto/aOEmCElDrEfk8fMx_BkT9w/o.jpg,False,https://www.yelp.com/biz/the-standard-east-village-new-york?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,214,"[{'alias': 'hotels', 'title': 'Hotels'}]",3.5,"{'latitude': 40.7278523436442, 'longitude': -73.9907492250947}",[],$$,"{'address1': '25 Cooper Sq', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['25 Cooper Sq', 'New York, NY 10003']}",+12124755700,(212) 475-5700
2Edq66lsiO17FSAVAlVVkA,café-standard-new-york-2,Café Standard,https://s3-media0.fl.yelpcdn.com/bphoto/ZIFHt7tODjjEbdSM4UN2ZA/o.jpg,False,https://www.yelp.com/biz/caf%C3%A9-standard-new-york-2?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,95,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'cafes', 'title': 'Cafes'}]",3.5,"{'latitude': 40.727844, 'longitude': -73.990739}",['delivery'],$$,"{'address1': '25 Cooper Sq', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['25 Cooper Sq', 'New York, NY 10003']}",+12124755700,(212) 475-5700
c1JiJmoldv_kXa-wXt5_RA,the-second-floor-bar-new-york,The Second Floor Bar,https://s3-media0.fl.yelpcdn.com/bphoto/O6jkZOKs13GCvKGcPDudJQ/o.jpg,True,https://www.yelp.com/biz/the-second-floor-bar-new-york?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,12,"[{'alias': 'lounges', 'title': 'Lounges'}]",3.5,"{'latitude': 40.727931, 'longitude': -73.990786}",[],$$$,"{'address1': '25 Cooper Sq', 'address2': '', 'address3': 'The Cooper Square Hotel', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['25 Cooper Sq', 'The Cooper Square Hotel', 'New York, NY 10003']}",+12124755700,(212) 475-5700
uxvOxte5rb78pa8XdQYUzw,koko-seafood-salad-and-grill-new-york-3,Koko Seafood Salad & Grill,https://s3-media0.fl.yelpcdn.com/bphoto/oUsNu8dHfOHQlXr1VvgvFg/o.jpg,False,https://www.yelp.com/biz/koko-seafood-salad-and-grill-new-york-3?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,9,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'caribbean', 'title': 'Caribbean'}, {'alias': 'gourmet', 'title': 'Specialty Food'}]",3.0,"{'latitude': 40.86064, 'longitude': -73.92782}","['pickup', 'delivery']",,"{'address1': '92 Nagle Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10040', 'country': 'US', 'state': 'NY', 'display_address': ['92 Nagle Ave', 'New York, NY 10040']}",+19172658878,(917) 265-8878
kqauSzyRmynMhIbFDZ6X7A,sergimmo-salumeria-whitestone,Sergimmo Salumeria,https://s3-media0.fl.yelpcdn.com/bphoto/Ou-gz7DVo_kApNv7tHd1dA/o.jpg,False,https://www.yelp.com/biz/sergimmo-salumeria-whitestone?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,41,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.5,"{'latitude': 40.789349240955, 'longitude': -73.8123922222901}","['delivery', 'pickup']",,"{'address1': '150-39 14th Ave', 'address2': '', 'address3': None, 'city': 'Whitestone', 'zip_code': '11357', 'country': 'US', 'state': 'NY', 'display_address': ['150-39 14th Ave', 'Whitestone, NY 11357']}",+17189394357,(718) 939-4357
K_xM48iUrbFjfKp_BuCv4A,whitestone-supermarket-whitestone,Whitestone Supermarket,https://s3-media0.fl.yelpcdn.com/bphoto/5YWHKi0Tvajzsp3gsSZiPw/o.jpg,True,https://www.yelp.com/biz/whitestone-supermarket-whitestone?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,1,"[{'alias': 'grocery', 'title': 'Grocery'}]",5.0,"{'latitude': 40.7767352, 'longitude': -73.8146401}",[],$$,"{'address1': '2411 150th St', 'address2': '', 'address3': '', 'city': 'Whitestone', 'zip_code': '11357', 'country': 'US', 'state': 'NY', 'display_address': ['2411 150th St', 'Whitestone, NY 11357']}",+17189394357,(718) 939-4357
tGBSU8KobmANg_3CEV4ZMg,island-new-york-2,Island,https://s3-media0.fl.yelpcdn.com/bphoto/nt2e77gEVy3AjlaHKg_eaQ/o.jpg,False,https://www.yelp.com/biz/island-new-york-2?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,128,"[{'alias': 'newamerican', 'title': 'American (New)'}]",3.5,"{'latitude': 40.78491, 'longitude': -73.95554}","['delivery', 'pickup']",$$,"{'address1': '1305 Madison Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10128', 'country': 'US', 'state': 'NY', 'display_address': ['1305 Madison Ave', 'New York, NY 10128']}",+12129961200,(212) 996-1200
z2GceMIxRfHOQUkWuf-5CQ,wholesome-garden-pizza-new-york,Wholesome Garden Pizza,https://s3-media0.fl.yelpcdn.com/bphoto/ofd_owIGo78ymRQDr53I5w/o.jpg,False,https://www.yelp.com/biz/wholesome-garden-pizza-new-york?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,50,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",2.5,"{'latitude': 40.8260542220437, 'longitude': -73.950857494472}","['pickup', 'delivery']",$,"{'address1': '3529 Broadway', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10031', 'country': 'US', 'state': 'NY', 'display_address': ['3529 Broadway', 'New York, NY 10031']}",+16468611934,(646) 861-1934
